Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Garage Finish,Garage Type_Attchd,Garage Type_Detchd,Kitchen Qual,Heating QC,BsmtFin Type 1,Bsmt Exposure,Bsmt Cond,Bsmt Qual,Foundation_CBlock,Foundation_PConc,Exter Qual,Roof Style_Gable,Roof Style_Hip,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_Somerst,MS Zoning,MS SubClass_50,MS SubClass_60,Lot Frontage,Lot Area,Overall Qual,Year Built,BsmtFin SF 1,Total Bsmt SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Cars,Garage Area,SalePrice,Total Flr SF
0,1,0,3,0,0,3,5,5,2,3,3,1,0,3,0,1,1,0,0,8,0,0,79.0,8910,6,1959,655.0,655.0,1194,6,1954.0,2.0,539.0,159500,1194
0,0,1,1,0,1,4,5,1,1,3,4,0,1,4,1,0,0,0,0,6,0,0,24.0,2522,7,2004,0.0,970.0,1709,7,2004.0,2.0,380.0,137500,1709
1,0,0,2,1,0,4,5,1,3,3,4,0,1,4,1,0,0,0,1,8,0,0,73.0,8688,7,2005,0.0,1616.0,1616,7,2005.0,3.0,834.0,232000,1616
0,1,0,1,0,1,3,3,1,1,3,3,0,0,4,1,0,0,0,0,6,0,0,35.71301713820314,6291,6,1930,0.0,768.0,768,4,1930.0,2.0,440.0,93850,768
0,0,1,1,0,1,2,2,1,1,3,3,0,0,3,1,0,0,0,0,8,0,0,39.95595950464923,17529,5,1924,0.0,872.0,872,5,1924.0,1.0,322.0,105000,872
0,1,0,1,0,1,2,2,1,1,3,3,0,0,3,1,0,0,0,0,6,0,0,60.0,6324,4,1927,0.0,520.0,520,4,1920.0,1.0,240.0,68500,520
1,0,0,1,0,1,3,3,3,1,3,3,1,0,3,1,0,1,0,0,8,0,0,80.0,11600,5,1960,443.0,1105.0,2274,12,1960.0,2.0,480.0,154300,2274
0,1,0,2,0,0,3,5,1,1,1,3,0,0,4,1,0,0,0,0,6,1,0,50.0,7288,5,1925,0.0,936.0,1601,6,1925.0,0.0,0.0,129850,1601
0,1,0,1,0,1,3,5,4,1,3,3,0,0,3,1,0,0,0,0,6,0,0,35.0,4571,5,1910,168.0,616.0,1232,6,1920.0,2.0,480.0,114000,1232
0,0,1,3,1,0,5,5,6,1,3,5,0,1,5,0,1,0,0,0,8,0,0,63.0,17423,9,2008,1904.0,2216.0,2234,9,2009.0,3.0,1166.0,501837,2234
0,1,0,1,0,1,3,4,1,2,3,3,0,0,3,1,0,0,0,0,6,1,0,100.0,12665,5,1915,0.0,876.0,1416,7,1949.0,3.0,720.0,153900,1416
0,1,0,1,0,1,3,4,5,1,3,3,1,0,3,1,0,1,0,0,8,0,0,60.0,9000,4,1971,240.0,864.0,864,5,1986.0,2.0,576.0,130000,864
1,0,0,2,1,0,3,5,6,1,3,5,0,1,3,0,1,0,0,0,6,0,0,32.0,4500,6,1997,864.0,1189.0,1189,4,1997.0,2.0,392.0,160500,1189
1,0,0,2,1,0,4,5,6,1,4,5,0,1,5,0,1,0,0,0,8,0,0,48.0,6373,9,2006,415.0,1666.0,1666,6,2006.0,2.0,575.0,310090,1666
0,0,0,2,1,0,4,5,6,1,3,4,0,1,4,1,0,0,0,0,8,0,0,67.0,10083,7,2003,833.0,1176.0,1200,5,2003.0,2.0,555.0,184900,1200
0,1,0,1,1,0,3,3,3,1,3,4,1,0,3,0,1,1,0,0,8,0,0,70.0,13300,5,1956,377.0,928.0,928,4,1956.0,1.0,252.0,132000,928
1,0,0,2,1,0,3,3,5,2,3,4,1,0,3,1,0,0,0,0,8,0,0,80.0,9600,5,1969,553.0,1288.0,1336,6,1969.0,2.0,502.0,163000,1336
1,0,0,2,0,1,4,5,6,3,3,4,0,1,4,1,0,0,0,1,7,0,0,30.0,3215,7,2004,280.0,600.0,1200,4,2004.0,2.0,480.0,155000,1200
0,1,0,2,1,0,3,4,6,3,3,3,1,0,3,1,0,0,0,0,8,0,0,69.63752942238865,11104,6,1969,828.0,1427.0,1427,7,1969.0,2.0,516.0,183000,1427
1,0,0,2,1,0,4,5,6,2,3,4,0,1,4,1,0,0,0,0,8,0,1,80.29245195696178,15295,7,1996,762.0,860.0,1992,7,1996.0,2.0,608.0,211000,1992
0,1,0,2,1,0,4,5,2,1,3,4,0,1,4,1,0,0,0,0,8,0,1,70.0,9109,7,1994,36.0,754.0,1540,6,1994.0,2.0,495.0,184000,1540
0,1,0,1,1,0,3,3,0,0,0,0,0,0,3,1,0,0,0,0,8,0,0,64.0,7018,5,1979,0.0,0.0,1535,8,1979.0,2.0,400.0,118858,1535
1,0,0,2,1,0,3,3,6,3,3,3,0,1,3,0,1,1,0,0,8,0,0,68.68619705323033,14112,5,1964,1014.0,1152.0,1152,6,1964.0,2.0,484.0,180500,1152
0,0,1,3,1,0,4,5,6,1,3,4,0,1,4,1,0,0,0,1,7,0,0,80.0,3523,8,2006,60.0,1141.0,1151,5,2006.0,2.0,484.0,166000,1151
1,0,0,2,1,0,3,5,4,3,3,3,1,0,3,0,1,0,0,0,8,0,0,88.0,15312,6,1960,588.0,1138.0,1138,6,1960.0,2.0,480.0,148000,1138
0,1,0,1,0,1,4,4,3,1,3,3,1,0,3,0,1,1,0,0,8,0,0,74.0,7450,5,1956,438.0,894.0,1074,6,1966.0,2.0,396.0,124000,1074
1,0,0,3,1,0,5,5,6,1,3,5,0,1,5,0,1,0,0,0,8,0,0,60.0,7313,9,2005,1153.0,1561.0,1561,6,2005.0,2.0,556.0,277500,1561
1,0,0,2,1,0,4,5,5,1,3,4,0,1,4,0,1,0,1,0,8,0,1,83.0,10019,8,1995,527.0,1342.0,2726,9,1995.0,3.0,725.0,350000,2726
1,0,0,3,1,0,5,5,6,4,3,5,0,1,5,0,1,0,0,0,8,0,0,53.0,15401,9,2004,1337.0,1884.0,1884,7,2004.0,3.0,670.0,387000,1884
0,1,0,2,0,0,3,5,5,2,3,3,0,0,3,1,0,0,0,0,8,0,0,58.0,9098,4,1920,348.0,528.0,605,5,1920.0,0.0,0.0,86000,605
0,1,0,2,1,0,5,5,6,2,5,4,1,0,5,1,0,0,0,0,8,0,0,103.0,16280,8,1976,1044.0,1426.0,1671,6,1976.0,2.0,550.0,290000,1671
0,1,0,2,0,0,3,3,1,1,3,2,1,0,3,0,0,0,0,0,3,0,0,72.0,9392,3,1900,0.0,245.0,797,5,1900.0,0.0,0.0,44000,797
0,1,0,3,0,0,4,5,5,1,3,5,0,1,3,1,0,0,0,0,8,0,1,71.0,12209,6,2001,690.0,804.0,1961,7,2001.0,2.0,560.0,215000,1961
1,0,0,3,1,0,3,5,6,1,3,4,1,0,3,1,0,0,0,0,8,0,0,79.0,13110,5,1972,962.0,1153.0,1193,6,1972.0,2.0,501.0,146500,1193
0,1,0,1,0,1,4,5,6,1,3,4,0,1,4,1,0,0,0,1,7,0,0,62.78793636444878,2651,7,2000,641.0,673.0,1382,6,2000.0,2.0,490.0,165000,1382
0,1,0,1,0,1,4,3,3,1,3,3,0,0,3,1,0,0,0,0,6,1,0,60.0,8520,6,1916,168.0,714.0,2526,10,1916.0,1.0,216.0,136000,2526
0,0,1,1,1,0,5,5,5,4,3,4,1,0,3,1,0,1,0,0,8,0,0,95.89430281115814,39384,6,1957,1110.0,1705.0,1390,4,1957.0,2.0,550.0,252000,1390
0,0,1,2,0,0,4,5,1,1,3,4,0,1,4,1,0,0,0,0,8,0,0,36.0,2628,7,2003,0.0,764.0,1626,6,2003.0,2.0,474.0,175500,1626
0,1,0,1,0,1,3,3,5,1,3,3,0,0,3,1,0,0,0,0,6,0,0,57.0,6406,5,1939,421.0,690.0,1558,7,1939.0,2.0,400.0,150000,1558
0,1,0,2,1,0,3,3,1,1,3,3,1,0,3,0,1,1,0,0,8,0,0,53.2365593780993,12342,5,1960,0.0,978.0,1422,6,1960.0,1.0,286.0,139900,1422
0,1,0,1,0,1,3,3,1,1,3,3,0,1,3,1,0,0,0,0,6,1,0,52.0,6240,5,1930,0.0,1078.0,1573,8,1930.0,2.0,360.0,162900,1573
1,0,0,1,1,0,3,3,1,1,3,3,1,0,3,0,1,1,0,0,8,0,0,87.0,10000,6,1962,0.0,1116.0,1116,5,1962.0,2.0,440.0,160000,1116
0,1,0,2,0,0,2,2,0,0,0,0,0,0,3,1,0,0,0,0,8,0,0,24.31605535568653,9000,2,1947,0.0,0.0,660,5,1947.0,0.0,0.0,63900,660
1,0,0,3,1,0,3,4,5,1,3,3,0,1,3,1,0,0,0,0,8,0,0,80.0,11088,6,1978,832.0,1140.0,1707,7,1978.0,2.0,479.0,184000,1707
1,0,0,3,1,0,2,3,4,1,3,3,1,0,3,1,0,0,0,0,8,0,0,134.0,17755,5,1959,176.0,1466.0,1466,6,1959.0,2.0,528.0,149900,1466
1,0,0,3,1,0,5,5,6,3,3,4,0,1,4,0,1,0,0,1,7,0,0,114.1598842989978,4765,9,2000,1027.0,1614.0,1638,5,2000.0,2.0,495.0,300000,1638
0,0,1,1,0,0,3,4,3,2,3,3,1,0,3,0,0,0,0,0,8,0,0,55.17727741118227,10532,5,1960,988.0,988.0,1721,7,1960.0,2.0,626.0,145000,1721
0,1,0,2,1,0,4,5,6,1,3,4,0,1,3,1,0,0,0,0,8,0,1,65.0,15426,6,1997,821.0,928.0,1764,7,1997.0,2.0,470.0,231500,1764
0,1,0,2,0,0,3,5,4,1,3,3,1,0,3,1,0,0,0,0,8,0,0,63.0,13907,5,1940,290.0,996.0,996,6,1940.0,0.0,0.0,108000,996
0,1,0,2,1,0,3,3,3,1,3,3,1,0,3,1,0,1,0,0,8,0,0,70.0,8750,5,1956,435.0,1202.0,1202,6,1956.0,1.0,304.0,120000,1202
1,0,0,1,0,1,3,3,3,1,3,3,1,0,3,0,1,0,0,0,8,0,0,48.898483774737386,9945,5,1961,827.0,988.0,988,5,1963.0,2.0,572.0,128500,988
0,1,0,1,0,1,3,4,1,1,3,3,1,0,3,1,0,0,0,0,6,0,0,56.0,8960,5,1927,0.0,1008.0,1028,5,1927.0,2.0,360.0,115000,1028
0,1,0,1,0,1,3,3,2,1,3,3,1,0,3,1,0,0,0,0,6,1,0,50.0,3500,5,1947,312.0,720.0,1284,5,1948.0,1.0,240.0,110000,1284
1,0,0,2,1,0,4,3,6,1,3,4,1,0,4,0,0,0,0,0,8,0,1,57.0799421494989,24572,9,1977,410.0,994.0,2944,9,1977.0,3.0,864.0,150000,2944
0,1,0,3,1,0,4,5,1,3,4,5,0,1,4,1,0,0,0,0,8,0,1,74.0,9056,8,2004,0.0,707.0,1414,6,2004.0,2.0,403.0,178000,1414
0,1,0,1,0,0,4,5,1,1,3,3,0,0,3,1,0,0,0,0,8,0,0,70.0,12320,7,1932,0.0,637.0,1609,8,1963.0,3.0,579.0,199500,1609
0,1,0,3,1,0,3,5,6,1,3,3,0,1,3,1,0,0,0,0,8,0,1,60.0,8238,6,1997,700.0,813.0,1525,6,1997.0,2.0,400.0,183500,1525
0,1,0,1,1,0,3,5,3,2,3,4,1,0,2,0,1,0,0,0,6,0,0,75.0,6000,5,1967,257.0,624.0,1656,7,1967.0,1.0,288.0,126000,1656
0,1,0,1,1,0,3,2,5,1,3,4,1,0,3,1,0,0,0,0,8,0,0,24.0,2529,7,1977,378.0,1055.0,1055,4,1977.0,2.0,440.0,148500,1055
0,1,0,1,0,1,4,5,1,1,3,3,0,0,3,1,0,0,0,0,8,0,1,60.0,10800,5,1939,0.0,676.0,1352,7,1939.0,2.0,720.0,149000,1352
0,1,0,1,1,0,3,3,5,1,3,4,1,0,3,1,0,0,0,0,8,0,0,24.0,2349,6,1977,389.0,855.0,1456,6,1977.0,2.0,440.0,137900,1456
0,1,0,3,1,0,4,5,6,4,3,4,0,1,4,1,0,0,0,0,8,0,0,32.0,10846,8,1993,1619.0,1719.0,1719,6,1993.0,2.0,473.0,324000,1719
0,1,0,2,0,0,3,3,3,1,3,3,1,0,3,1,0,0,0,0,8,0,0,67.0,5604,5,1925,468.0,864.0,864,5,1925.0,0.0,0.0,98000,864
1,0,0,1,0,1,3,3,2,1,3,3,1,0,3,1,0,0,0,0,6,0,0,21.0,1680,6,1973,458.0,483.0,987,5,1973.0,1.0,264.0,103400,987
0,1,0,2,0,0,3,4,1,1,3,3,1,0,3,1,0,0,0,0,8,1,0,54.0,6342,5,1875,0.0,780.0,1020,6,1875.0,0.0,0.0,94000,1020
0,0,1,2,1,0,4,5,6,2,4,4,0,1,4,1,0,0,0,0,8,0,0,34.0,4590,8,2006,24.0,1554.0,1554,6,2006.0,2.0,627.0,209500,1554
1,0,0,3,0,0,5,5,1,4,3,5,0,1,5,0,1,0,0,0,8,0,1,60.0,18062,10,2006,0.0,1528.0,3390,10,2006.0,3.0,758.0,545224,3390
0,1,0,2,0,0,4,5,1,1,3,3,0,1,4,1,0,0,0,0,6,0,0,60.0,12900,6,1912,0.0,780.0,1560,7,1912.0,0.0,0.0,159900,1560
0,1,0,1,0,1,3,5,2,1,3,3,1,0,3,1,0,0,0,0,8,0,0,140.0,19138,4,1951,120.0,864.0,864,4,1951.0,2.0,400.0,141000,864
0,1,0,3,1,0,3,5,5,1,3,4,0,1,3,1,0,0,0,0,8,0,1,81.81458374761509,8658,6,2000,732.0,982.0,1889,9,2000.0,2.0,431.0,215000,1889
0,1,0,1,0,1,3,5,5,1,3,3,1,0,3,1,0,0,0,0,8,0,0,48.3276843532424,6897,5,1962,659.0,1040.0,1040,6,1962.0,1.0,260.0,127000,1040
0,1,0,3,1,0,3,3,4,3,3,3,1,0,3,1,0,0,0,0,8,0,0,75.0,9525,5,1954,954.0,1172.0,1172,5,1954.0,1.0,366.0,128000,1172
0,1,0,2,1,0,4,5,6,1,1,5,0,1,4,1,0,0,0,1,7,0,0,57.0,12853,8,2010,1032.0,1642.0,1418,6,2010.0,3.0,852.0,267916,1418
0,1,0,1,0,1,3,3,2,1,2,3,0,0,3,1,0,0,0,0,6,1,0,52.0,6240,6,1931,425.0,884.0,1367,6,1978.0,1.0,560.0,127500,1367
